LeagueId;CanonicalTeam;SourceTeam;MappingType;Notes
Finland_Kolmonen_Southern_Group1;PPJ/Ruoholahti;PPJ/Ruoholahti;CANONICAL;
Finland_Kolmonen_Southern_Group1;GrIFK/Akatemia U23;GrIFK/Akatemia U23;CANONICAL;
Finland_Kolmonen_Southern_Group1;GrIFK/Akatemia U23;GrIFK U23;ALIAS;
Finland_Kolmonen_Southern_Group1;HooGee;HooGee;CANONICAL;
Finland_Kolmonen_Southern_Group1;EPS Reservi;EPS Reservi;CANONICAL;
Finland_Kolmonen_Southern_Group2;PPJ/Lauttasaari;PPJ/Lauttasaari;CANONICAL;
Finland_Kolmonen_Southern_Group2;MPS;MPS;CANONICAL;
Finland_Kolmonen_Southern_Group2;MPS;Malmin Palloseura Helsinki;ALIAS;
Finland_Kolmonen_Southern_Group2;ToTe;ToTe;CANONICAL;
Finland_Kolmonen_Southern_Group2;Valtti;Valtti;CANONICAL;
Finland_Kolmonen_Southern_Group2;Laajasalon Palloseura;Laajasalon Palloseura;CANONICAL;
Finland_Kolmonen_Southern_Group2;Laajasalon Palloseura;LPS Helsinki;ALIAS;
Finland_Kolmonen_Southern_Group2;HPS/2;HPS/2;CANONICAL;
Finland_Kolmonen_Southern_Group2;HPS/2;HPS II;ALIAS;
Finland_Kolmonen_Southern_Group2;Töölön Taisto;Töölön Taisto;CANONICAL;
Finland_Kolmonen_Southern_Group2;Töölön Taisto;Toolon Taisto;ALIAS;
Finland_Kolmonen_Southern_Group2;Atlantis FC/2;Atlantis FC/2;CANONICAL;
Finland_Kolmonen_Southern_Group2;Atlantis FC/2;Atlantis FC/Akatemia;AMBIGUOUS_ALIAS;Resolve using opponent team/group
Finland_Kolmonen_Southern_Group2;TiPS;TiPS;CANONICAL;
Finland_Kolmonen_Southern_Group2;VJS/2;VJS/2;CANONICAL;
Finland_Kolmonen_Southern_Group2;VJS/2;VJS Vantaa B;ALIAS;
Finland_Kolmonen_Southern_Group2;Kontu;Kontu;CANONICAL;
Finland_Kolmonen_Southern_Group2;Kontu;FC Kontu;ALIAS;
Finland_Kolmonen_Southern_Group2;PPS;PPS;CANONICAL;
Finland_Kolmonen_Southern_Group3;Futura;Futura;CANONICAL;
Finland_Kolmonen_Southern_Group3;IF Sibbo Vargarna;IF Sibbo Vargarna;CANONICAL;
Finland_Kolmonen_Southern_Group3;IF Sibbo Vargarna;Sibbo-Vargarna;ALIAS;
Finland_Kolmonen_Southern_Group3;Lahti/69;Lahti/69;CANONICAL;
Finland_Kolmonen_Southern_Group3;RiPS;RiPS;CANONICAL;
Finland_Kolmonen_Southern_Group3;JäPS/47;JäPS/47;CANONICAL;
Finland_Kolmonen_Southern_Group3;Atlantis II;Atlantis II;CANONICAL;
Finland_Kolmonen_Southern_Group3;Atlantis II;Atlantis FC/Akatemia;AMBIGUOUS_ALIAS;Resolve using opponent team/group
Finland_Kolmonen_Southern_Group3;TuPS;TuPS;CANONICAL;
Finland_Kolmonen_Southern_Group3;Gnistan/Ogeli;Gnistan/Ogeli;CANONICAL;
Finland_Kolmonen_Southern_Group3;Gnistan/Ogeli;Gnistan Ogeli;ALIAS;
Finland_Kolmonen_Southern_Group3;Ponnistus;Ponnistus;CANONICAL;
Finland_Kolmonen_Southern_Group3;TiPS/2 U21;TiPS/2 U21;CANONICAL;
Finland_Kolmonen_Southern_Group3;TiPS/2 U21;TiPS;AMBIGUOUS_ALIAS;Resolve using opponent team/group
Finland_Kolmonen_Southern_Group3;ToTe/Tapio;ToTe/Tapio;CANONICAL;
Finland_Kolmonen_Southern_Group3;ToTe/Tapio;Toukolan Teras;ALIAS;
Finland_Kolmonen_Southern_Group3;ToTe/Tapio;ToTe;AMBIGUOUS_ALIAS;Resolve using opponent team/group
Finland_Kolmonen_Western_Group1;IFK 2;IFK 2;CANONICAL;
Finland_Kolmonen_Western_Group1;EuPa;EuPa;CANONICAL;
Finland_Kolmonen_Western_Group1;PIF;PIF;CANONICAL;
Finland_Kolmonen_Western_Group1;VG-62;VG-62;CANONICAL;
Finland_Kolmonen_Western_Group1;VG-62;VG 62;ALIAS;
Finland_Kolmonen_Western_Group1;KaaPo;KaaPo;CANONICAL;
Finland_Kolmonen_Western_Group1;KaaPo;Kaarinan Pojat;ALIAS;
Finland_Kolmonen_Western_Group1;SalPa II;SalPa II;CANONICAL;
Finland_Kolmonen_Western_Group1;MaPS;MaPS;CANONICAL;
Finland_Kolmonen_Western_Group1;MaPS;MaPS Masku;ALIAS;
Finland_Kolmonen_Western_Group1;Peimari United;Peimari United;CANONICAL;
Finland_Kolmonen_Western_Group1;LTU U20;LTU U20;CANONICAL;
Finland_Kolmonen_Western_Group1;PiPS;PiPS;CANONICAL;
Finland_Kolmonen_Western_Group1;JyTy;JyTy;CANONICAL;
Finland_Kolmonen_Western_Group1;ÅCF;ÅCF;CANONICAL;
Finland_Kolmonen_Western_Group1;ÅCF;ACF;ALIAS;
Finland_Kolmonen_Western_Group2;FC Lasten;FC Lasten;CANONICAL;
Finland_Kolmonen_Western_Group2;FC Lasten;Lasten;ALIAS;
Finland_Kolmonen_Western_Group2;TPV/2;TPV/2;CANONICAL;
Finland_Kolmonen_Western_Group2;Tampere Utd/2;Tampere Utd/2;CANONICAL;
Finland_Kolmonen_Western_Group2;Tampere Utd/2;Tampere Utd II;ALIAS;
Finland_Kolmonen_Western_Group2;NoPS;NoPS;CANONICAL;
Finland_Kolmonen_Western_Group2;NoPS;NOPS;ALIAS;
Finland_Kolmonen_Western_Group2;Ylöjärvi Utd.;Ylöjärvi Utd.;CANONICAL;
Finland_Kolmonen_Western_Group2;Ylöjärvi Utd.;Ylojarvi United;ALIAS;
Finland_Kolmonen_Western_Group2;FC Haka j.;FC Haka j.;CANONICAL;
Finland_Kolmonen_Western_Group2;FC Haka j.;FC Haka Juniors;ALIAS;
Finland_Kolmonen_Western_Group2;Sääksjärven Loiske;Sääksjärven Loiske;CANONICAL;
Finland_Kolmonen_Western_Group2;Sääksjärven Loiske;Saaksjarven Loiske;ALIAS;
Finland_Kolmonen_Western_Group2;FC LeKi;FC LeKi;CANONICAL;
Finland_Kolmonen_Western_Group2;FC LeKi;LeKi Futis;ALIAS;
Finland_Kolmonen_Western_Group2;TP-T;TP-T;CANONICAL;
Finland_Kolmonen_Western_Group2;TP-T;Tampereen Peli Toverit;ALIAS;
Finland_Kolmonen_Western_Group2;Fish United;Fish United;CANONICAL;
Finland_Kolmonen_Western_Group2;ACE;ACE;CANONICAL;
Finland_Kolmonen_Western_Group2;TP-49;TP-49;CANONICAL;
Finland_Kolmonen_Western_Group3;VIFK;VIFK;CANONICAL;
Finland_Kolmonen_Western_Group3;Kiisto;Kiisto;CANONICAL;
Finland_Kolmonen_Western_Group3;Kiisto;Kiisto Vaasa;ALIAS;
Finland_Kolmonen_Western_Group3;FC Ylivieska;FC Ylivieska;CANONICAL;
Finland_Kolmonen_Western_Group3;FC Ylivieska;YPA Ylivieska;ALIAS;
Finland_Kolmonen_Western_Group3;Sundom IF;Sundom IF;CANONICAL;
Finland_Kolmonen_Western_Group3;Sundom IF;SIF;ALIAS;
Finland_Kolmonen_Western_Group3;SJK-j;SJK-j;CANONICAL;
Finland_Kolmonen_Western_Group3;SJK-j;SJK-j Apollo;ALIAS;
Finland_Kolmonen_Western_Group3;Virkiä;Virkiä;CANONICAL;
Finland_Kolmonen_Western_Group3;Virkiä;Virkia;ALIAS;
Finland_Kolmonen_Western_Group3;VPV;VPV;CANONICAL;
Finland_Kolmonen_Western_Group3;VPV;VPV Pallo-Veikot;ALIAS;
Finland_Kolmonen_Western_Group3;NIK;NIK;CANONICAL;
Finland_Kolmonen_Western_Group3;Sp. Kristina;Sp. Kristina;CANONICAL;
Finland_Kolmonen_Western_Group3;Sp. Kristina;Sporting Kristina;ALIAS;
Finland_Kolmonen_Western_Group3;KPV/Akatemia;KPV/Akatemia;CANONICAL;
Finland_Kolmonen_Western_Group3;Larsmo Bollklubb;Larsmo Bollklubb;CANONICAL;
Finland_Kolmonen_Western_Group3;FC Sääripotku;FC Sääripotku;CANONICAL;
Finland_Kolmonen_Western_Group3;FC Sääripotku;Saaripotku;ALIAS;
Finland_Kolmonen_Eastern_Group1;Jyväskylän Seudun Palloseura;Jyväskylän Seudun Palloseura;CANONICAL;
Finland_Kolmonen_Eastern_Group1;Jyväskylän Seudun Palloseura;JPS;ALIAS;
Finland_Kolmonen_Eastern_Group1;Blackbird;Blackbird;CANONICAL;
Finland_Kolmonen_Eastern_Group1;Blackbird;FC Jyvaskyla Blackbird;ALIAS;
Finland_Kolmonen_Eastern_Group1;FC Metso;FC Metso;CANONICAL;
Finland_Kolmonen_Eastern_Group1;JJK Jyväskylä II;JJK Jyväskylä II;CANONICAL;
Finland_Kolmonen_Eastern_Group1;JJK Jyväskylä II;JJK/2;ALIAS;
Finland_Kolmonen_Eastern_Group1;KeuPa;KeuPa;CANONICAL;
Finland_Kolmonen_Eastern_Group1;Komeetat;Komeetat;CANONICAL;
Finland_Kolmonen_Eastern_Group1;Savon Pallo;Savon Pallo;CANONICAL;
Finland_Kolmonen_Eastern_Group1;Savon Pallo;SAPA;ALIAS;
Finland_Kolmonen_Eastern_Group1;FC Vaajakoski/2;FC Vaajakoski/2;CANONICAL;
Finland_Kolmonen_Eastern_Group2;Kings SC;Kings SC;CANONICAL;
Finland_Kolmonen_Eastern_Group2;Kings SC;Kings;ALIAS;
Finland_Kolmonen_Eastern_Group2;NiemU;NiemU;CANONICAL;
Finland_Kolmonen_Eastern_Group2;KuPS/Akatemia II;KuPS/Akatemia II;CANONICAL;
Finland_Kolmonen_Eastern_Group2;Jippo-j/Punamusta;Jippo-j/Punamusta;CANONICAL;
Finland_Kolmonen_Eastern_Group2;Ylämyllyn Yllätys;Ylämyllyn Yllätys;CANONICAL;
Finland_Kolmonen_Eastern_Group2;Ylämyllyn Yllätys;Yllatys;ALIAS;
Finland_Kolmonen_Eastern_Group2;PK-37;PK-37;CANONICAL;
Finland_Kolmonen_Eastern_Group2;PK-37;PK-37 Iisalmi;ALIAS;
Finland_Kolmonen_Eastern_Group2;Zulimanit;Zulimanit;CANONICAL;
Finland_Kolmonen_Eastern_Group2;ToU;ToU;CANONICAL;
Finland_Kolmonen_Eastern_Group2;ToU;Toivalan Urheilijat;ALIAS;
Finland_Kolmonen_Eastern_Group3;Kultsu;Kultsu;CANONICAL;
Finland_Kolmonen_Eastern_Group3;Kultsu;Kultsu Lappeenranta;ALIAS;
Finland_Kolmonen_Eastern_Group3;Edustus IPS;Edustus IPS;CANONICAL;
Finland_Kolmonen_Eastern_Group3;PeKa;PeKa;CANONICAL;
Finland_Kolmonen_Eastern_Group3;MiPK;MiPK;CANONICAL;
Finland_Kolmonen_Eastern_Group3;MiPK;MiPK Mikkeli;ALIAS;
Finland_Kolmonen_Eastern_Group3;HaPK;HaPK;CANONICAL;
Finland_Kolmonen_Eastern_Group3;HaPK;HAPK;ALIAS;
Finland_Kolmonen_Eastern_Group3;KoPa;KoPa;CANONICAL;
Finland_Kolmonen_Eastern_Group3;KJP;KJP;CANONICAL;
Finland_Kolmonen_Eastern_Group3;LAUTP;LAUTP;CANONICAL;
Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;Mikkelin Palloilijat 2;CANONICAL;
Finland_Kolmonen_Eastern_Group3;Mikkelin Palloilijat 2;Mikkelin Palloilijat II;ALIAS;
Finland_Kolmonen_Eastern_Group3;STPS;STPS;CANONICAL;
Finland_Kolmonen_Eastern_Group3;Kumu;Kumu;CANONICAL;
Finland_Kolmonen_Eastern_Group3;Kumu;Kumu STPS;ALIAS;
Finland_Kolmonen_Eastern_Group3;LAUTP/2;LAUTP/2;CANONICAL;
