Profile;MatchId;PredictionDate;MatchDate;LeagueId;Home;Away;Outcome;OriginalScore;NewScore;ScoreDelta;OriginalBand;NewBand;SignalCount;ActiveSignals
ACCUMULATION_LIGHT;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
ACCUMULATION_MEDIUM;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
ACCUMULATION_STRONG;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
THREE_SIGNALS_LIGHT;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
THREE_SIGNALS_MEDIUM;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
THREE_SIGNALS_STRONG;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
FOUR_SIGNALS_MEDIUM;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
FOUR_SIGNALS_STRONG;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
BASELINE;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
ACCUMULATION_LIGHT;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
ACCUMULATION_MEDIUM;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
ACCUMULATION_STRONG;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
THREE_SIGNALS_LIGHT;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
THREE_SIGNALS_MEDIUM;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
THREE_SIGNALS_STRONG;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
FOUR_SIGNALS_MEDIUM;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
FOUR_SIGNALS_STRONG;7;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Austin FC II;Colorado Rapids 2;OK;65.6;65.6;0.0;MEDIA;MEDIA;1;RankingGapHigh
BASELINE;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
ACCUMULATION_LIGHT;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
ACCUMULATION_MEDIUM;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
ACCUMULATION_STRONG;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
THREE_SIGNALS_LIGHT;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
THREE_SIGNALS_MEDIUM;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
THREE_SIGNALS_STRONG;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_MEDIUM;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_STRONG;8;2026-07-06;;USA_MLSNextPro_WesternConference_CentralDivision;Huntsville;Chicago Fire II;OK;0.0;0.0;0.0;BASSA;BASSA;0;
BASELINE;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
ACCUMULATION_LIGHT;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;76.03;-1.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
ACCUMULATION_MEDIUM;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;75.03;-2.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
ACCUMULATION_STRONG;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;74.03;-3.0;ALTA;MEDIA;2;RankingGapHigh | WorstPPGLow
THREE_SIGNALS_LIGHT;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
THREE_SIGNALS_MEDIUM;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
THREE_SIGNALS_STRONG;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
FOUR_SIGNALS_MEDIUM;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
FOUR_SIGNALS_STRONG;9;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Los Angeles FC 2;Real Monarchs;OK;77.03;77.03;0.0;ALTA;ALTA;2;RankingGapHigh | WorstPPGLow
BASELINE;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
ACCUMULATION_LIGHT;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
ACCUMULATION_MEDIUM;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
ACCUMULATION_STRONG;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
THREE_SIGNALS_LIGHT;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
THREE_SIGNALS_MEDIUM;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
THREE_SIGNALS_STRONG;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_MEDIUM;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_STRONG;10;2026-07-06;;USA_MLSNextPro_WesternConference_PacificDivision;Tacoma Defiance;Portland Timbers 2;KO;47.49;47.49;0.0;BASSA;BASSA;0;
BASELINE;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_LIGHT;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_MEDIUM;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_STRONG;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_LIGHT;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_MEDIUM;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_STRONG;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_MEDIUM;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_STRONG;11;2026-07-06;;USA_USLLeagueOne;AV Alta;Charlotte Independ.;KO;71.62;71.62;0.0;MEDIA;MEDIA;0;
BASELINE;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
ACCUMULATION_LIGHT;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
ACCUMULATION_MEDIUM;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
ACCUMULATION_STRONG;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
THREE_SIGNALS_LIGHT;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
THREE_SIGNALS_MEDIUM;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
THREE_SIGNALS_STRONG;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
FOUR_SIGNALS_MEDIUM;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
FOUR_SIGNALS_STRONG;12;2026-07-06;;USA_USLLeagueTwo_Chesapeake;Northern Virginia;Patuxent;OK;67.19;67.19;0.0;MEDIA;MEDIA;1;WorstPPGLow
BASELINE;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;81.93;0.0;ALTA;ALTA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_LIGHT;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;78.93;-3.0;ALTA;ALTA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_MEDIUM;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;75.93;-6.0;ALTA;ALTA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_STRONG;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;72.93;-9.0;ALTA;MEDIA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_LIGHT;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;77.93;-4.0;ALTA;ALTA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_MEDIUM;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;74.93;-7.0;ALTA;MEDIA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_STRONG;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;71.93;-10.0;ALTA;MEDIA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
FOUR_SIGNALS_MEDIUM;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;76.93;-5.0;ALTA;ALTA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
FOUR_SIGNALS_STRONG;13;2026-07-06;;USA_USLLeagueTwo_GreatLakes;Lansing City;Flint City;OK;81.93;73.93;-8.0;ALTA;MEDIA;4;RankingGapHigh | HomePPGLow | WorstPPGLow | HomeWinsLow
BASELINE;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
ACCUMULATION_LIGHT;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
ACCUMULATION_MEDIUM;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
ACCUMULATION_STRONG;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
THREE_SIGNALS_LIGHT;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
THREE_SIGNALS_MEDIUM;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
THREE_SIGNALS_STRONG;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
FOUR_SIGNALS_MEDIUM;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
FOUR_SIGNALS_STRONG;14;2026-07-06;;USA_USLLeagueTwo_Metropolitan;Ironbound SC;Staten Island ASC;OK;79.93;79.93;0.0;ALTA;ALTA;1;WorstPPGLow
BASELINE;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
ACCUMULATION_LIGHT;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
ACCUMULATION_MEDIUM;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
ACCUMULATION_STRONG;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_LIGHT;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_MEDIUM;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_STRONG;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_MEDIUM;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_STRONG;15;2026-07-06;;USA_USLLeagueTwo_MidSouth;Little Rock Rangers;Louisiana;KO;69.89;69.89;0.0;MEDIA;MEDIA;0;
BASELINE;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;72.16;0.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_LIGHT;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;70.16;-2.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_MEDIUM;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;68.16;-4.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
ACCUMULATION_STRONG;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;66.16;-6.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_LIGHT;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;70.16;-2.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_MEDIUM;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;68.16;-4.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
THREE_SIGNALS_STRONG;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;66.16;-6.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
FOUR_SIGNALS_MEDIUM;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;72.16;0.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
FOUR_SIGNALS_STRONG;16;2026-07-06;;USA_USLLeagueTwo_NorCal;Marin;Glens SC;KO;72.16;72.16;0.0;MEDIA;MEDIA;3;HomePPGLow | WorstPPGLow | HomeWinsLow
BASELINE;17;2026-07-06;;USA_USLLeagueTwo_NorCal;San Francisco City;Academica SC;OK;81.4;81.4;0.0;ALTA;ALTA;0;
ACCUMULATION_LIGHT;17;2026-07-06;;USA_USLLeagueTwo_NorCal;San Francisco City;Academica SC;OK;81.4;81.4;0.0;ALTA;ALTA;0;
