TeamId;LeagueId;CanonicalName;RealName;Aliases
FIN_VJS_2;Finland_Kolmonen_Southern_Group2;VJS 2;VJS/Akatemia;VJS/Akatemia|VJS/2|VJS Vantaa B|VJS Akatemia
FIN_TOTE;Finland_Kolmonen_Southern_Group2;ToTe;Toukolan Teräs;Toukolan Teras
FIN_PPS;Finland_Kolmonen_Southern_Group2;PPS;Pakkalan Palloseura;Pakkalan Palloseura
FIN_RIPS;Finland_Kolmonen_Southern_Group3;RiPS;Riihimäen Palloseura;Riihimaen Palloseura
FIN_FUTURA;Finland_Kolmonen_Southern_Group3;Futura;FC Futura;FC Futura
FIN_ATLANTIS_2;Finland_Kolmonen_Southern_Group3;Atlantis 2;Atlantis FC/Akatemia;Atlantis FC Akatemia|Atlantis II
FIN_TIPS_2_U21;Finland_Kolmonen_Southern_Group3;TiPS/2 U21;TiPS U21;TiPS U21
FIN_TUPS;Finland_Kolmonen_Southern_Group3;TuPS;Tuusulan Palloseura;Tuusulan Palloseura
FIN_LAHTI_69;Finland_Kolmonen_Southern_Group3;Lahti/69;FC Lahti/69;FC Lahti 69|Lahti 69
FIN_SAPA;Finland_Kolmonen_Eastern_Group1;SAPA;Jyväskylän Seudun Palloseura;Jyvaskylan Seudun Palloseura
FIN_SAVON_PALLO;Finland_Kolmonen_Eastern_Group1;Savon Pallo;SaPa;SaPa
FIN_JJK_2;Finland_Kolmonen_Eastern_Group1;JJK/2;JJK Jyväskylä II;JJK Jyväskylä II|JJK Jyvaskyla II|JJK Jyväskylä 2|JJK Jyvaskyla 2
FIN_KOMEETAT;Finland_Kolmonen_Eastern_Group1;Komeetat;Jyväskylän Komeetat;Jyväskylän Komeetat|Jyvaskylan Komeetat
FIN_FC_VAAJAKOSKI_2;Finland_Kolmonen_Eastern_Group1;FC Vaajakoski/2;FC Vaajakoski 2;FC Vaajakoski 2|FC Vaajakoski II
FIN_BLACKBIRD;Finland_Kolmonen_Eastern_Group1;Blackbird;FC Jyväskylä Blackbird;FC Blackbird|FC Jyvaskyla Blackbird
FIN_KEUPA;Finland_Kolmonen_Eastern_Group1;KeuPa;Keuruun Pallo;Keuruun Pallo
FIN_PK_37;Finland_Kolmonen_Eastern_Group2;PK-37;Pallo-Kerho 37;Pallo-Kerho 37
FIN_KJP;Finland_Kolmonen_Eastern_Group3;KJP;Kouvolan Jalkapallo;Kouvolan Jalkapallo
FIN_PEKA;Finland_Kolmonen_Eastern_Group3;PeKa;Peli-Karhut;FC Peli-Karhut|Peli-Karhut
FIN_KULTSU;Finland_Kolmonen_Eastern_Group3;Kultsu;Kultsu FC;Kultsu FC
FIN_PIPS;Finland_Kolmonen_Western_Group1;PiPS;Piikkiön Palloseura;Piikkion Palloseura
FIN_IFK_2;Finland_Kolmonen_Western_Group1;IFK 2;IFK Mariehamn 2;IFK Mariehamn 2
FIN_MAPS;Finland_Kolmonen_Western_Group1;MaPS;Maskun Palloseura;Maskun Palloseura
FIN_JYTY;Finland_Kolmonen_Western_Group1;JyTy;Jyrkkälän Tykit;Jyrkkalan Tykit
FIN_LTU_U20;Finland_Kolmonen_Western_Group1;LTU U20;Littoisten Työväen Urheilijat U20;Littoisten Tyovaen Urheilijat U20
FIN_PIF;Finland_Kolmonen_Western_Group1;PIF;Pargas IF;Pargas IF
FIN_KAAPO;Finland_Kolmonen_Western_Group1;KaaPo;Kaarinan Pojat;Kaarinan Pojat
FIN_ACF;Finland_Kolmonen_Western_Group1;ÅCF;Åbo CF;Abo CF|ACF
FIN_NOPS;Finland_Kolmonen_Western_Group2;NoPS;Nokian Palloseura;Nokian Palloseura
FIN_TAMPERE_UTD_2;Finland_Kolmonen_Western_Group2;Tampere Utd/2;Tampere United 2;Tampere United 2
FIN_YLOJARVI_UTD;Finland_Kolmonen_Western_Group2;Ylöjärvi Utd.;Ylöjärvi United FC;Ylojarvi United FC|Ylojarvi Utd
FIN_TP_T;Finland_Kolmonen_Western_Group2;TP-T;Tampereen Peli-Toverit;Tampereen Peli Toverit
FIN_FC_LEKI;Finland_Kolmonen_Western_Group2;FC LeKi;LeKi-futis;LeKi Futis
FIN_SAAKSJARVEN_LOISKE;Finland_Kolmonen_Western_Group2;Sääksjärven Loiske;Sääksjärven Loiske;Saaksjarven Loiske
FIN_FC_HAKA_J;Finland_Kolmonen_Western_Group2;FC Haka j.;FC Haka Juniors;FC Haka Juniors
FIN_FC_LASTEN;Finland_Kolmonen_Western_Group2;FC Lasten;FC Lasten;Lasten
FIN_TPV_2;Finland_Kolmonen_Western_Group2;TPV/2;Tampereen Pallo-Veikot 2;TPV 2|TPV II
FIN_VIRKIA;Finland_Kolmonen_Western_Group3;Virkiä;Lapuan Virkiä;Lapuan Virkia
FIN_KIISTO;Finland_Kolmonen_Western_Group3;Kiisto;FC Kiisto;FC Kiisto|Kiisto Vaasa
FIN_VIFK;Finland_Kolmonen_Western_Group3;VIFK;Vaasa IFK;Vaasa IFK
FIN_VPV;Finland_Kolmonen_Western_Group3;VPV;Vaasan Pallo-Veikot;Vaasan Pallo Veikot|VPV Pallo Veikot
FIN_SUNDOM_IF;Finland_Kolmonen_Western_Group3;Sundom IF;Sundom IF;SIF
FIN_SP_KRISTINA;Finland_Kolmonen_Western_Group3;Sp. Kristina;Sporting Kristina;Sporting Kristina
FIN_FC_YLIVIESKA;Finland_Kolmonen_Western_Group3;FC Ylivieska;YPA Ylivieska;YPA Ylivieska
FIN_SJK_J;Finland_Kolmonen_Western_Group3;SJK-j;SJK-j Apollo;SJK j Apollo|SJK J
FIN_NIK;Finland_Kolmonen_Western_Group3;NIK;Nykarleby IK;Nykarleby IK
FIN_KINGS;Finland_Kolmonen_Eastern_Group2;Kings;Kings SC;Kings SC
FIN_KAJHA;Finland_Kolmonen_North;KajHa;Kajaanin Haka;Kajaanin Haka
FIN_KAPA;Finland_Kolmonen_North;KaPa;Kajaanin Palloilijat;Kajaanin Palloilijat
FIN_KEPS;Finland_Kolmonen_North;KePS;Kemin Palloseura;Kemin Palloseura
FIN_ROPO;Finland_Kolmonen_North;RoPo;Rollon Pojat;Rollon Pojat
FIN_SANTA_CLAUS;Finland_Kolmonen_North;Santa Claus;FC Santa Claus;FC Santa Claus
FIN_HERCULES_J;Finland_Kolmonen_North;Hercules-j;JS Hercules II;Hercules 2|Hercules II|JS Hercules II|Hercules-J
FIN_ROPS;Finland_Ykkonen;RoPS;Rovaniemen Palloseura;Rovaniemi|Rovaniemen Palloseura
