v20defThreshold;v22defThreshold;v25defThreshold;Tot;OK;KO;PercentOK;Wilson95Lower;NoAUTot;NoAUOK;NoAUKO;NoAUPercentOK;NoAUWilson95Lower;Months;WorstMonthPercentOK;MonthsBelow70;Rank
60.0;63.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2219
60.0;63.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2858
60.0;63.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1658
60.0;63.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1572
60.0;63.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3149
60.0;63.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5483
60.0;63.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9510
60.0;63.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9865
60.0;63.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10441
60.0;63.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11248
60.0;63.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11410
60.0;63.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12459
60.0;63.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14839
60.0;64.0;60.0;709;521;188;73.48;70.1143;541;405;136;74.86;71.0392;2;69.63;1;7740
60.0;64.0;61.0;709;521;188;73.48;70.1143;541;405;136;74.86;71.0392;2;69.63;1;7741
60.0;64.0;62.0;709;521;188;73.48;70.1143;541;405;136;74.86;71.0392;2;69.63;1;7742
60.0;64.0;63.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7327
60.0;64.0;64.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7328
60.0;64.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7661
60.0;64.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7320
60.0;64.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5970
60.0;64.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5416
60.0;64.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4935
60.0;64.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3422
60.0;64.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2687
60.0;64.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2075
60.0;64.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3134
60.0;64.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2278
60.0;64.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2734
60.0;64.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2508
60.0;64.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1749
60.0;64.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2220
60.0;64.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2859
60.0;64.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1659
60.0;64.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1573
60.0;64.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3150
60.0;64.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5484
60.0;64.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9511
60.0;64.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9866
60.0;64.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10442
60.0;64.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11249
60.0;64.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11411
60.0;64.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12460
60.0;64.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14840
60.0;65.0;60.0;700;513;187;73.29;69.8873;536;400;136;74.63;70.7767;2;69.67;1;8205
60.0;65.0;61.0;700;513;187;73.29;69.8873;536;400;136;74.63;70.7767;2;69.67;1;8206
60.0;65.0;62.0;700;513;187;73.29;69.8873;536;400;136;74.63;70.7767;2;69.67;1;8207
60.0;65.0;63.0;698;513;185;73.5;70.0992;534;400;134;74.91;71.06;2;70.0;0;7772
60.0;65.0;64.0;698;513;185;73.5;70.0992;534;400;134;74.91;71.06;2;70.0;0;7773
60.0;65.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7662
60.0;65.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7321
60.0;65.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5971
60.0;65.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5417
60.0;65.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4936
60.0;65.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3423
60.0;65.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2688
60.0;65.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2076
60.0;65.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3135
60.0;65.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2279
60.0;65.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2735
60.0;65.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2509
60.0;65.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1750
60.0;65.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2221
60.0;65.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2860
60.0;65.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1660
60.0;65.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1574
60.0;65.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3151
60.0;65.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5485
60.0;65.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9512
60.0;65.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9867
60.0;65.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10443
60.0;65.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11250
60.0;65.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11412
60.0;65.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12461
60.0;65.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14841
60.0;66.0;60.0;686;503;183;73.32;69.8908;526;393;133;74.71;70.8303;2;69.57;1;8202
60.0;66.0;61.0;686;503;183;73.32;69.8908;526;393;133;74.71;70.8303;2;69.57;1;8203
60.0;66.0;62.0;686;503;183;73.32;69.8908;526;393;133;74.71;70.8303;2;69.57;1;8204
60.0;66.0;63.0;684;503;181;73.54;70.1072;524;393;131;75.0;71.1195;2;69.9;1;7767
60.0;66.0;64.0;684;503;181;73.54;70.1072;524;393;131;75.0;71.1195;2;69.9;1;7768
60.0;66.0;65.0;683;503;180;73.65;70.216;523;393;130;75.14;71.265;2;69.9;1;7475
60.0;66.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7322
60.0;66.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5972
60.0;66.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5418
60.0;66.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4937
60.0;66.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3424
60.0;66.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2689
60.0;66.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2077
60.0;66.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3136
60.0;66.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2280
60.0;66.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2736
60.0;66.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2510
60.0;66.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1751
60.0;66.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2222
60.0;66.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2861
60.0;66.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1661
60.0;66.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1575
60.0;66.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3152
60.0;66.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5486
60.0;66.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9513
60.0;66.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9868
60.0;66.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10444
60.0;66.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11251
60.0;66.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11413
60.0;66.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12462
60.0;66.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14842
60.0;67.0;60.0;674;497;177;73.74;70.2888;518;389;129;75.1;71.1967;2;70.79;0;7387
60.0;67.0;61.0;674;497;177;73.74;70.2888;518;389;129;75.1;71.1967;2;70.79;0;7388
60.0;67.0;62.0;674;497;177;73.74;70.2888;518;389;129;75.1;71.1967;2;70.79;0;7389
60.0;67.0;63.0;672;497;175;73.96;70.5106;516;389;127;75.39;71.4923;2;71.14;0;6734
60.0;67.0;64.0;672;497;175;73.96;70.5106;516;389;127;75.39;71.4923;2;71.14;0;6735
60.0;67.0;65.0;671;497;174;74.07;70.6221;515;389;126;75.53;71.641;2;71.14;0;6348
60.0;67.0;66.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5973
60.0;67.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5974
60.0;67.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5419
60.0;67.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4938
60.0;67.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3425
60.0;67.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2690
60.0;67.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2078
60.0;67.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3137
60.0;67.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2281
60.0;67.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2737
60.0;67.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2511
60.0;67.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1752
60.0;67.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2223
60.0;67.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2862
60.0;67.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1662
60.0;67.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1576
60.0;67.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3153
60.0;67.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5487
60.0;67.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9514
60.0;67.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9869
60.0;67.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10445
60.0;67.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11252
60.0;67.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11414
60.0;67.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12463
60.0;67.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14843
60.0;68.0;60.0;662;490;172;74.02;70.5457;509;383;126;75.25;71.3163;2;71.07;0;6697
60.0;68.0;61.0;662;490;172;74.02;70.5457;509;383;126;75.25;71.3163;2;71.07;0;6698
60.0;68.0;62.0;662;490;172;74.02;70.5457;509;383;126;75.25;71.3163;2;71.07;0;6699
60.0;68.0;63.0;661;490;171;74.13;70.6589;508;383;125;75.39;71.4668;2;71.07;0;6233
60.0;68.0;64.0;661;490;171;74.13;70.6589;508;383;125;75.39;71.4668;2;71.07;0;6234
60.0;68.0;65.0;660;490;170;74.24;70.7726;507;383;124;75.54;71.6179;2;71.07;0;5894
60.0;68.0;66.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5420
60.0;68.0;67.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5421
60.0;68.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5422
60.0;68.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4939
60.0;68.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3426
60.0;68.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2691
